_ID,USER_ID,USER_EMAIL,CREATED_AT,CREDIT_REPORT_FROZEN,DELETED,IS_ENROLLED,UPDATED_AT,POPULATION_RANK,SNAP_SHOT__OPEN_ACCOUNTS,SNAP_SHOT__TOTAL_CLOSED_ACCOUNTS,SNAP_SHOT__CLOSED_ACCOUNTS,SNAP_SHOT__TOTAL_ACCOUNTS,SNAP_SHOT__DELINQUENT_ACCOUNTS,SNAP_SHOT__DEROGATORY_ACCOUNTS,SNAP_SHOT__TOTAL_BALANCES,SNAP_SHOT__TOTAL_MONTHLY_PAYMENTS,SNAP_SHOT__NUMBER_OF_INQUIRIES,SNAP_SHOT__TOTAL_PUBLIC_RECORDS,SNAP_SHOT__AVAILABLE_CREDIT,SNAP_SHOT__UTILIZATION,SNAP_SHOT__DATE_OF_OLDEST_TRADE,SNAP_SHOT__AGE_OF_CREDIT,SNAP_SHOT__TOTAL_OPEN_INSTALLMENT_ACCOUNTS,SNAP_SHOT__TOTAL_OPEN_COLLECTION_ACCOUNTS,SNAP_SHOT__TOTAL_OPEN_MORTGAGE_ACCOUNTS,SNAP_SHOT__TOTAL_OPEN_REVOLVING_ACCOUNTS,SNAP_SHOT__TOTAL_OPEN_OTHER_ACCOUNTS,SNAP_SHOT__BALANCE_OPEN_INSTALLMENT_ACCOUNTS,SNAP_SHOT__BALANCE_OPEN_COLLECTION_ACCOUNTS,SNAP_SHOT__BALANCE_OPEN_MORTGAGE_ACCOUNTS,SNAP_SHOT__BALANCE_OPEN_REVOLVING_ACCOUNTS,SNAP_SHOT__BALANCE_OPEN_OTHER_ACCOUNTS,SNAP_SHOT__ON_TIME_PAYMENT_PERCENTAGE,SNAP_SHOT__LATE_PAYMENT_PERCENTAGE,THIN_FILE__DESCRIPTION,VANTAGE_SCORE3
66ec26e2c0b33822acecbca5,66ec25713804f60b406c5dca,a46b2854647b839cd1caaa912457b636a7a9c9373d3fb1f08b8ca5f20096b7c7,2024-09-19 13:28:02.711,false,false,true,2025-02-21 07:27:23.232,2,5,,8,13,1,9,15083.00,520,9,0,0.00,0,2021-03-19,3.9,0,5,0,0,0,0,8447,0,0,0,87.5%,12.5%,,460
66ec271ed58ccf36a23748a4,627300afba62be4a28ca17ba,049a9f1d119ced7afb64fb9e8a7f8ce07189e7ba7099967cb6f35e5b6a71c037,2024-09-19 13:29:02.255,false,false,true,2025-02-21 07:27:24.195,5,4,,1,5,1,2,1357.00,160,3,0,-112.00,1.448,2022-01-31,3.1,0,1,0,1,2,0,580,0,362,0,75%,25%,,499
66ec272ed58ccf36a23749c7,66ec2608868a9622564d46bb,9bc82cf1f08d07cf0551c8cefbde213eff5ba76fed3f05a50c6ceb67a6de4f31,2024-09-19 13:29:18.628,false,false,true,2025-02-21 07:28:42.751,34,18,,17,35,0,7,77455.00,423,1,0,13.00,.957,2015-03-27,9.9,15,1,0,1,1,69650,3864,0,287,0,93.94%,6.06%,,610
66ec273ed58ccf36a2374a13,6429bb6efe264063091b97ed,e8973321e28d8a774df7bd9a965b5a9d16d7e88f2f9fdc57dfed53813d749e82,2024-09-19 13:29:34.085,false,false,true,2025-02-21 07:28:43.556,20,5,,6,11,2,6,226662.00,2246,9,0,0.00,0,2014-07-16,10.6,0,2,1,0,2,0,1657,211802,0,0,88.89%,11.11%,,551
66ec274f766dc80a49fad7a9,66ec250d3804f60b406b4e4e,2a2e8fdcdc9522ae6d5e95c0fddc648ccd2273f372e8dc2544ff9f6c5eba7d35,2024-09-19 13:29:51.443,false,false,true,2025-02-21 07:28:44.413,8,2,,2,4,1,3,2672.00,0,2,0,0.00,0,2013-09-10,11.5,0,2,0,0,0,0,1059,0,0,0,50%,50%,,515
66ec2761d58ccf36a2374c7e,66c50929d8ca310e4c157444,fc67affe9c984931cb4a062a4ad4c88610a70f7d23bc7b9e5b95d603a8b9341f,2024-09-19 13:30:09.817,false,false,true,2025-02-21 07:26:52.894,4,15,,5,20,11,5,54098.00,876,3,0,0.00,0,2013-09-19,11.4,12,2,0,0,1,45648,1309,0,0,0,94.44%,5.56%,,487
66ec2763d58ccf36a2374c8e,6664ec8d0ce4703ab93c30ff,d0762e1da9c2748de72d23f6d0ccbb42d26b6ae35777588a5b47f95c685e9ffa,2024-09-19 13:30:11.474,false,false,true,2025-02-21 07:27:24.994,34,0,,1,1,0,1,597.00,0,0,0,0.00,0,2017-03-29,7.9,0,0,0,0,0,0,0,0,0,0,100%,%,,607
66ec2775fd1789248a39b43c,64a45c7a8407ce4aa5db1da6,013be8362482a1f1c5e7c8c3b2690cd7ca227d7e9fa59c768756a12e16bccaf7,2024-09-19 13:30:29.156,false,false,true,2025-02-21 07:27:26.064,27,8,,3,11,0,5,24124.00,650,13,0,0.00,0,2012-09-09,12.5,4,2,0,0,2,19733,406,0,0,26,100%,%,,570
66ec27a0d58ccf36a2374fb3,66eb9614e24bbe76f767f9c9,d8e8f93604a9c98b91dde375a02b9d4bde27c16ca8373e0031dc4c0c6dee4d8e,2024-09-19 13:31:12.386,false,false,true,2025-02-21 07:28:46.452,10,2,,0,2,0,2,2320.00,0,1,0,0.00,0,2021-02-22,4,0,2,0,0,0,0,2320,0,0,0,0,0,,517
66ec27a6d58ccf36a237500d,667404806bbfbc7152481c3f,39d41bdda53a4e571ce5daf9688436beac4fb5592a92130eccfe5c8b998f095d,2024-09-19 13:31:18.548,false,false,true,2025-02-21 07:28:47.327,18,3,,4,7,1,2,18867.00,853,5,0,0.00,0,2020-04-06,4.9,3,0,0,0,0,18599,0,0,0,0,85.71%,14.29%,,536
66ec27aac0b33822aceccc14,6648f20c8c709110d60f524a,75e07ef4197141aede621310421a3b50b309b044d4d14ac2f8fecda397e23bf7,2024-09-19 13:31:22.405,false,false,true,2025-02-21 13:35:02.177,38,8,,6,14,0,0,25644.00,589,6,0,1405.00,.063,2013-03-13,12,2,0,0,3,3,25520,0,0,95,0,71.43%,28.57%,,633
66ec27d74157d73763219e57,63a3aaef3873403c9c0d3d06,3ec6d75a4b637a4efb276cbaa6b2f9ca5dee297a68549a517712f162e4f6c005,2024-09-19 13:32:07.417,false,false,true,2025-02-21 17:38:49.881,11,4,,7,11,3,4,13903.00,411,3,0,0.00,0,2018-10-25,6.3,2,0,0,0,2,7732,0,0,0,203,70%,30%,,522
66ec27e24157d73763219f54,66ae635b80062a4470fd5b05,af5b22c3ee4a329fa0660319628c85777bbbee6145637848583ab30d41baed96,2024-09-19 13:32:18.031,false,false,true,2025-02-21 07:26:54.814,40,4,,5,9,0,5,2208.00,0,12,0,0.00,0,2021-11-01,3.3,1,2,0,0,1,0,1856,0,0,0,85.71%,14.29%,,640
66ec27e7d58ccf36a23752d7,654f9ffee388c71d27ac2d4a,ce0b4fa036572809ae852d4650571d866b911b424bfe13b1ebcd1aaa87f0a49f,2024-09-19 13:32:23.929,false,false,true,2025-02-21 07:29:24.587,49,1,,1,2,0,0,13106.00,1008,1,0,0.00,0,2023-03-29,1.9,1,0,0,0,0,13106,0,0,0,0,100%,%,,667
66ec27ec4157d73763219fca,6537e3adef881047d6a294ff,16886125edce735c70ea38f5eb502019e4f07d58cfe43a08058acdec70d2805a,2024-09-19 13:32:28.577,false,false,true,2025-02-21 07:26:55.800,28,8,,0,8,0,3,12148.00,71,4,0,0.00,0,2017-10-27,7.3,3,3,0,0,2,6926,5222,0,0,0,100%,%,,575
66ec27f4c0b33822aceccf9c,5d704db1e507d7001667e06d,c59b100abcccdeab14c8728661f3eaefdee247ffbe7eea09b61bc0289125f3ff,2024-09-19 13:32:36.845,false,false,true,2025-02-21 07:28:48.294,33,3,,6,9,0,4,58045.00,0,6,0,0.00,0,2005-01-19,20.1,1,2,0,0,0,48610,6356,0,0,0,85.71%,14.29%,,605
66ec28108827a341c73f5b87,66ec275002894b5843d83d57,4fb73515ac4652756549220076fe0f93cde3a1446fdec916d621ee3e2c45c07c,2024-09-19 13:33:04.091,false,false,true,2025-02-21 07:27:26.973,30,1,,4,5,0,2,527.00,0,2,0,0.00,0,2021-04-23,3.8,0,1,0,0,0,0,150,0,0,0,100%,%,,584
